company,name,year,Price,kms_driven,fuel_type
Chevrolet,Chevrolet Spark,2009,"1,10,000","44,000 kms",Petrol
Mahindra,Mahindra Jeep,2019,"3,90,000",60 kms,Diesel
Renault,Renault Duster,2012,"5,01,000","35,000 kms",Diesel
Mahindra,Mahindra XUV500,2016,"11,30,000","72,000 kms",Diesel
Tata,Tata Indigo,2014,"2,50,000","40,000 kms",Diesel
Tata,Tata Zest,/-Rs,Ask For Price,,
Mahindra,Mahindra Bolero,2013,"3,30,000","80,200 kms",Diesel
Force,Force Motors ForceOne LX ABS 7 STR,2015,"5,80,000","3,200 kms",Diesel
Skoda,Skoda Rapid,2013,"3,40,000","48,000 kms",Diesel
Tata,Tata Vista,2011,"1,20,000","90,000 kms",Diesel
Maruti,Maruti Suzuki Alto K10 VXi AT,2015,"2,65,000","12,000 kms",Petrol
Maruti,Maruti Suzuki SX4,2012,"2,65,000","46,000 kms",Diesel
Maruti,Maruti Suzuki Zen LXi BS III,2003,"85,000","69,900 kms",Petrol
Mahindra,Mahindra Jeep,2019,"3,79,000","0,000 kms",Diesel
Hyundai,Hyundai i10,2011,"1,75,000","45,000 kms",Petrol
Maruti,Maruti Suzuki Alto 800,2015,"2,19,000","5,000 kms",Petrol
Maruti,Maruti Suzuki Swift Dzire Tour LDi,2016,"3,50,000","1,66,000 kms",Diesel
Honda,Honda City,2008,"1,49,000","42,000 kms",Petrol
Mahindra,Mahindra Jeep,2018,"3,85,000",588 kms,Diesel
Mahindra,Mahindra Jeep,2006,"4,25,000",122 kms,Diesel
Chevrolet,Chevrolet Beat,2017,"1,50,000","62,000 kms",Diesel
Honda,Honda City,2010,"2,25,000","70,000 kms",Petrol
Maruti,Maruti Suzuki Swift Dzire car,sale,"3,00,000",,
Hyundai,Hyundai Verna,2014,"3,75,000","36,000 kms",Petrol
Toyota,Toyota Innova,2012,"7,70,000",0 kms,Diesel
Maruti,Maruti Suzuki Alto 800 Lxi,2018,Ask For Price,"24,000 kms",Petrol
Toyota,Toyota Etios,2011,"2,75,000","36,000 kms",Diesel
Volkswagen,Volkswagen Polo,2015,"3,30,000","38,000 kms",Diesel
Maruti,Maruti Suzuki Swift,2014,"3,35,000","55,000 kms",Diesel
Hyundai,Hyundai i20,2015,"4,50,000","20,000 kms",Diesel
Maruti,Maruti Suzuki Swift Dzire VXi 1.2 BS IV,2012,"2,25,000","40,000 kms",Petrol
Maruti,Maruti Suzuki Swift Dzire Tour (Gat,ara),"3,00,000",,
Maruti,Maruti Suzuki Versa DX2 8 SEATER BSIII,2004,"80,000","50,000 kms",Petrol
Tata,Tata Indigo,2016,"1,30,000","1,04,000 kms",Diesel
Volkswagen,Volkswagen Vento,2011,"2,45,000","65,000 kms",Diesel
Mercedes,Mercedes Benz C-Class 200 CDI Classic,2002,"3,99,000","41,000 kms",Petrol
Maruti,Maruti Suzuki Ertiga VDi,2013,"4,50,000","90,000 kms",Diesel
URJENT,URJE,SELL,"1,80,000",,
Honda,Honda City,2000,"65,000","80,000 kms",Petrol
Hyundai,Hyundai Santro,2006,"75,000","46,000 kms",Petrol
Maruti,Maruti Suzuki Omni Limited Edition,2001,"70,000","70,000 kms",Petrol
Hyundai,Hyundai Sonata,2017,"1,90,000","36,469 kms",Diesel
Hyundai,Hyundai i20 ,2018,"6,00,000","7,800 kms",Petrol
Volkswagen,Volkswagen Vento,2011,"2,45,000","65,000 kms",Diesel
Maruti,Maruti Suzuki Alto 800 Lxi,2017,"2,40,000","60,000 kms",Petrol
Maruti,Maruti Suzuki Alto LXi BS III,2011,"1,55,000","32,000 kms",Petrol
Honda,Honda Jazz,2009,"1,69,999","24,695 kms",Petrol
Hyundai,Hyundai Grand i10 Sportz 1.2 Kappa VTVT,2017,"4,50,000","15,141 kms",Petrol
Maruti,Maruti Suzuki Zen LXi BSII,2001,"40,000","40,000 kms",Petrol
Mahindra,Mahindra Scorpio,2012,"1,65,000","65,000 kms",Diesel
Swift,Swift Dzire Tour 27 Dec 2016 Regis,tion,"3,70,000",,
Maruti,Maruti Suzuki Alto K10 VXi,2014,"2,70,000","22,000 kms",Petrol
Hyundai,Hyundai Grand i10 Asta 1.2 Kappa VTVT,2016,"2,80,000","59,910 kms",Diesel
Mahindra,Mahindra XUV500,2012,"5,60,000","1,00,000 kms",Diesel
Hyundai,Hyundai Creta,2016,"9,50,000","25,000 kms",Petrol
Hyundai,Hyundai i20,2013,"3,10,000","35,000 kms",Petrol
Renault,Renault Duster,2015,"7,15,000","65,000 kms",Diesel
Hyundai,Hyundai Grand i10 Sportz 1.2 Kappa VTVT,2014,"3,40,000","35,000 kms",Petrol
Honda,Honda Brio,2012,"2,35,000","33,000 kms",Petrol
Mahindra,Mahindra TUV300,2017,"6,10,000","68,000 kms",Diesel
Chevrolet,Chevrolet Spark,2010,"95,000","23,000 kms",Petrol
Mahindra,Mahindra TUV300,2018,"10,00,000","4,500 kms",Diesel
Maruti,Maruti Suzuki Swift Dzire Tour LDi,2015,"2,20,000","1,29,000 kms",Diesel
Nissan,Nissan X,2019,"12,00,000",300 kms,Diesel
Maruti,Maruti Suzuki Alto 800 Vxi,2015,"2,30,000","5,000 kms",Petrol
Ford,Ford Ikon,2001,"45,000","65,000 kms",Petrol
Toyota,Toyota Fortuner,2010,"9,40,000","1,31,000 kms",Diesel
Tata,Tata Manza,2010,"1,55,555","1,11,111 kms",Petrol
Tata,Tata Zest,odel,"3,20,000",,
Mahindra,Mahindra xyl,2 bs,"3,50,000",,
Mercedes,Mercedes Benz A-Class A 180 Sport Petrol,2013,"15,00,000","14,000 kms",Petrol
Chevrolet,Chevrolet Beat,2016,"2,10,000","22,000 kms",Diesel
Ford,Ford EcoSport,2013,"4,95,000","38,000 kms",Diesel
Tata,Tata Indigo,2016,"1,25,000","70,000 kms",Diesel
Hyundai,Hyundai i20,2010,"1,95,000","36,000 kms",Petrol
Volkswagen,Volkswagen Vento,2015,"5,50,000","34,000 kms",Diesel
Renault,Renault Kwid,2015,"2,70,000","43,000 kms",Petrol
Used,Used Commercial Maruti Omn,arry,"1,50,000",,
Ford,Ford EcoSport,2014,"5,00,000","40,000 kms",Diesel
Honda,Honda Amaze,2016,"2,40,000","1,60,000 kms",Diesel
Hyundai,Hyundai Verna,2017,"8,00,000","12,000 kms",Petrol
BMW,BMW 5 Series 520d Sedan,2011,"19,99,000","49,000 kms",Diesel
Skoda,Skoda Superb,2011,"5,30,000","68,000 kms",Petrol
Audi,Audi Q3,2013,"14,99,000","37,000 kms",Diesel
Mahindra,Mahindra Bolero,2012,"2,20,000","59,466 kms",Diesel
Maruti,Maruti Suzuki Zen Estilo LXI Green CNG,2011,Ask For Price,"16,000 kms",Petrol
Mahindra,Mahindra Scorpio,2015,"9,00,000","97,200 kms",Diesel
Ford,Ford Figo,2012,"2,50,000","99,000 kms",Diesel
Maruti,Maruti Suzuki WagonR VXI BS IV,2018,"3,95,000","25,500 kms",Petrol
Mahindra,Mahindra Logan,2009,"1,30,000","66,000 kms",Petrol
Tata,Tata Nano,2010,"32,000","44,005 kms",Petrol
Mahindra,Mahindra TUV300,2016,"5,40,000","35,000 kms",Diesel
Mahindra,Mahindra TUV300,2016,"5,40,000","35,000 kms",Diesel
Hyundai,Hyundai i20,2015,"4,05,000","28,000 kms",Petrol
Hyundai,Hyundai i20,2015,"4,00,000","30,000 kms",Petrol
Honda,Honda City,2017,"7,60,000","4,000 kms",Petrol
Maruti,Maruti Suzuki Baleno Delta 1.2,2016,"5,00,000","28,000 kms",Petrol
Ford,Ford Figo,2011,"1,75,000","75,000 kms",Petrol
Mahindra,Mahindra Scorpio,2015,"9,00,000","97,200 kms",Diesel
Honda,Honda City,2017,"7,50,000","3,000 kms",Petrol
Hyundai,Hyundai i20,2015,"4,19,000","20,000 kms",Petrol
Maruti,Maruti Suzuki Versa DX2 8 SEATER BSIII,2004,"90,000","50,000 kms",Petrol
Hyundai,Hyundai Eon,2018,"1,40,000","2,110 kms",Petrol
Mitsubishi,Mitsubishi Pajero,2015,"15,40,000","43,222 kms",Petrol
Hyundai,Hyundai i10,2008,"2,75,000","1,00,200 kms",Petrol
Toyota,Toyota Corolla,2003,"1,50,000","1,00,000 kms",Petrol
Maruti,Maruti Suzuki Swift Dzire Tour VXi,2011,"2,30,000",65 kms,Petrol
Tata,Tata Indigo,2015,"1,23,000","1,00,000 kms",Diesel
Mahindra,Mahindra Scorpio,2015,"9,00,000","97,200 kms",Diesel
Mahindra,Mahindra Scorpio,2015,"9,00,000","97,200 kms",Diesel
Hyundai,Hyundai Xcent,2016,"3,00,000","1,40,000 kms",Diesel
Honda,Honda City,2015,"4,99,999","55,000 kms",Petrol
Hyundai,Hyundai Accent,2009,"1,65,000","48,000 kms",Petrol
Maruti,Maruti Suzuki Baleno Delta 1.2,2016,"4,98,000","22,000 kms",Petrol
Tata,Tata Zest,2018,"4,80,000","1,03,553 kms",Diesel
Maruti,Maruti Suzuki Dzire LDI,2017,"4,88,000","80,000 kms",Diesel
Tata,Tata Sumo,2014,"2,50,000","99,000 kms",Diesel
Toyota,Toyota Corolla,2010,"2,20,000","58,000 kms",Petrol
Maruti,Maruti Suzuki Eeco 7 STR,2013,"2,90,000","70,000 kms",CNG
Toyota,Toyota Fortuner,2015,"15,25,000","1,20,000 kms",Diesel
Mahindra,Mahindra XUV500,2013,"5,48,900","49,800 kms",Diesel
Tata,Tata Tigor,2019,"6,50,000",100 kms,Diesel
Maruti,Maruti Suzuki Ertiga Vxi,2015,"5,50,000","75,000 kms",Petrol
Maruti,Maruti Suzuki Versa DX2 8 SEATER BSIII,2004,"90,000","50,000 kms",Petrol
Honda,Honda Mobilio,2014,"3,99,000","44,000 kms",Diesel
Maruti,Maruti Suzuki Ertiga,2016,"7,30,000","55,000 kms",Diesel
Maruti,Maruti Suzuki Vitara Brezza,2017,"7,25,000","36,000 kms",Diesel
Hyundai,Hyundai Verna,2016,"1,95,000","56,000 kms",Diesel
Maruti,Maruti Suzuki Swift VXI BSIII,2007,"1,30,000","62,000 kms",Petrol
Toyota,Toyota Fortuner,2015,"15,25,000","1,20,000 kms",Diesel
Maruti,Maruti Suzuki Omni Select Variant,2014,"1,90,000","6,020 kms",Petrol
Honda,Honda Amaze,2013,"2,50,000","55,700 kms",Diesel
Tata,Tata Indica,2005,"80,000","42,000 kms",Petrol
Hyundai,Hyundai Santro,2003,"1,20,000","50,000 kms",Petrol
Maruti,Maruti Suzuki Zen Estilo,2010,"1,49,000","35,000 kms",Petrol
Maruti,Maruti Suzuki WagonR LXI BS IV,2014,"2,50,000","18,500 kms",Petrol
Maruti,Maruti Suzuki WagonR,2007,"1,20,000","7,000 kms",Petrol
Honda,Honda Brio,2017,"4,50,000","11,000 kms",Petrol
Hyundai,Hyundai Xcent,2015,Ask For Price,"1,80,000 kms",Diesel
Maruti,Maruti Suzuki Zen LXi BSII,2003,"99,999","53,000 kms",Petrol
Maruti,Maruti Suzuki Zen Estilo LXI Green CNG,2008,"1,35,000","23,000 kms",Petrol
Maruti,Maruti Suzuki WagonR Select Variant,2016,"2,25,000","35,500 kms",Diesel
Maruti,Maruti Suzuki Alto LXi BS III,2010,"99,000","22,134 kms",Petrol
Renault,Renault Kwid,2019,"3,70,000","1,000 kms",Petrol
Tata,Tata Nano,2010,"52,000","9,000 kms",Petrol
Jaguar,Jaguar XE,2016,"28,00,000","8,500 kms",Petrol
Hyundai,Hyundai Xcent,2015,Ask For Price,"35,000 kms",Petrol
Hyundai,Hyundai Eon,2014,"1,90,000","35,000 kms",Petrol
Honda,Honda City,2014,"4,99,000","22,000 kms",Petrol
Hindustan,Hindustan Motors Ambassador,2002,"90,000","25,000 kms",Diesel
Maruti,Maruti Suzuki Ritz GENUS VXI,2010,"1,49,000","40,000 kms",Petrol
Hyundai,Hyundai Grand i10 Magna AT 1.2 Kappa VTVT,2017,"4,00,000","20,000 kms",Petrol
Hyundai,Hyundai Eon ,2016,"1,20,000","87,000 kms",Petrol
Maruti,Maruti Suzuki Swift Dzire VXi 1.2 BS IV,2015,"2,50,000","55,000 kms",Petrol
Maruti,Maruti Suzuki WagonR VXI BS IV,2017,"3,75,000","23,000 kms",Petrol
Honda,Honda Amaze,2014,"3,81,000","6,000 kms",Petrol
Maruti,Maruti Suzuki Estilo VXi ABS BS IV,2013,"1,80,000","65,000 kms",Petrol
Maruti,Maruti Suzuki Vitara Brezza LDi O,2016,"5,80,000","25,000 kms",Diesel
Maruti,Maruti Suzuki Eeco 5 STR WITH AC HTR,2015,"2,78,000","39,000 kms",Petrol
Toyota,Toyota Innova,2009,Ask For Price,"15,574 kms",Diesel
Hyundai,Hyundai Creta,2016,"10,00,000","8,000 kms",Petrol
Mahindra,Mahindra Scorpio,2013,"6,90,000","75,000 kms",Diesel
Maruti,Maruti Suzuki Ertiga VDi,2012,"4,80,000","51,000 kms",Diesel
Mitsubishi,Mitsubishi Pajero,2015,"17,25,000","37,000 kms",Diesel
Maruti,Maruti Suzuki Maruti 800 AC,2001,"40,000","75,000 kms",Petrol
Maruti,Maruti Suzuki Alto 800 LXI CNG O,2015,"90,000","55,800 kms",Petrol
Hyundai,Hyundai Grand i10 Magna 1.2 Kappa VTVT,2015,"3,40,000","53,000 kms",Petrol
Hyundai,Hyundai Eon,2018,"2,60,000","25,000 kms",Petrol
Ford,Ford Fiesta,2009,"2,50,000","56,400 kms",Petrol
Maruti,Maruti Suzuki Ritz VDi,2010,"1,80,000","72,160 kms",Diesel
Hyundai,Hyundai Verna,2012,"3,50,000","10,000 kms",Diesel
Maruti,Maruti Suzuki WagonR LXi BS III,2006,"90,001","48,000 kms",Petrol
Maruti,Maruti Suzuki Estilo LX BS IV,2007,"1,15,000","36,000 kms",Petrol
Audi,Audi A6,2012,"20,99,000","11,500 kms",Diesel
Maruti,Maruti Suzuki WagonR LXi BS III,2003,"1,30,000","1,33,000 kms",Petrol
Maruti,Maruti Suzuki WagonR,2009,"1,59,000","27,000 kms",Petrol
Maruti,Maruti Suzuki WagonR,2009,"1,60,000","35,000 kms",Petrol
Maruti,Maruti Suzuki Alto,2010,"1,10,000","55,000 kms",Petrol
Maruti,Maruti Suzuki Baleno Sigma 1.2,2016,"4,25,000","40,000 kms",Petrol
Hyundai,Hyundai Verna,2019,"9,00,000","2,000 kms",Petrol
Maruti,Maruti Suzuki Swift GLAM,2009,"1,50,000","45,000 kms",Petrol
Hyundai,Hyundai Getz,2009,"1,10,000","20,000 kms",Petrol
Hyundai,Hyundai Santro,2000,"51,999","88,000 kms",Petrol
Hyundai,Hyundai Getz,2009,"1,15,000","20,000 kms",Petrol
Chevrolet,Chevrolet Beat,2012,"2,15,000","65,422 kms",Diesel
Ford,Ford EcoSport,2017,"5,80,000","10,000 kms",Petrol
Maruti,Maruti Suzuki Dzire ZXI,2013,"3,80,000","35,000 kms",Petrol
Hyundai,Hyundai Verna,2013,"3,50,000","1,17,000 kms",Diesel
Tata,Tata Indica,2005,"35,000","1,50,000 kms",Diesel
BMW,BMW X1,2011,"12,50,000","72,000 kms",Diesel
Hyundai,Hyundai i20,2010,"3,00,000","10,750 kms",Petrol
Honda,Honda City,2009,"2,69,000","55,000 kms",Petrol
Tata,Tata Nano,2013,"60,000","6,800 kms",Petrol
Chevrolet,Chevrolet Cruze,2014,"4,00,000","41,000 kms",Diesel
Hyundai,Hyundai Verna,2015,"4,30,000","73,000 kms",Diesel
Hyundai,Hyun,Eon,Ask For Price,,
Maruti,Maruti Suzuki Swift Dzire VDi,2011,"1,40,000","65,000 kms",Diesel
Mahindra,Mahindra XUV500,2014,"8,50,000","45,000 kms",Diesel
Mahindra,Mahindra XUV500,2018,"12,99,000","40,000 kms",Diesel
Maruti,Maruti Suzuki Alto K10 LXi CNG,2014,"1,99,000","37,000 kms",Petrol
Hyundai,Hyundai Accent,2006,"90,000","55,000 kms",Petrol
Force,Force Motors One SUV,2013,"5,50,000","1,40,000 kms",Diesel
Datsun,Datsun GO,2016,Ask For Price,5 kms,Petrol
Maruti,Maruti Suzuki Alto,2019,"2,65,000","9,800 kms",Petrol
Chevrolet,Chevrolet Spark,2011,"1,00,000","27,000 kms",Petrol
Hyundai,Hyundai i10,2009,"2,15,000","27,000 kms",Petrol
Toyota,Toyota Etios,2012,"3,80,000","20,000 kms",Diesel
Renault,Renault Duster,2013,"4,01,919","57,923 kms",Diesel
Chevrolet,Chevrolet Enjoy,2014,"4,90,000","30,201 kms",Diesel
Maruti,Maruti Suzuki Alto 800 Lxi,2017,"2,80,000","6,200 kms",Petrol
BMW,BMW 5 Series 530i,2009,"10,50,000","37,518 kms",Petrol
Toyota,Toyota Etios,2014,"1,60,000","24,652 kms",Petrol
Mahindra,Mahindra Jeep,2004,"4,24,000",383 kms,Diesel
Chevrolet,Chevrolet Beat,2016,"2,25,000","95,000 kms",Diesel
Chevrolet,Chevrolet Cruze,2011,"3,50,000","35,000 kms",Diesel
Jeep,Jeep Wrangler,2015,"9,50,000","3,528 kms",Diesel
Maruti,Maruti Suzuki Ertiga VDi,2013,"4,85,000","52,500 kms",Diesel
Hyundai,Hyundai Verna,2010,"2,05,000","47,900 kms",Diesel
Maruti,Maruti Suzuki Omni,2012,"1,60,000","14,000 kms",Petrol
Maruti,Maruti Suzuki Celerio VDi,2018,"3,10,000","37,000 kms",Petrol
Tata,Tata Zest,2017,"1,80,000","90,000 kms",Diesel
Mahindra,Mahindra XUV500,2013,"5,49,900","52,800 kms",Diesel
Tata,Tata Indigo,2016,"1,50,000","1,04,000 kms",Diesel
Hyundai,Hyundai i10,2011,"1,75,000","30,000 kms",Petrol
Tata,Tata Indigo,2014,"95,000","1,95,000 kms",Diesel
Tata,Tata Indigo,2016,"2,30,000","1,04,000 kms",Diesel
Tata,Tata Indigo,2016,"2,30,000","1,04,000 kms",Diesel
Tata,Tata Indigo,2004,"1,80,000","70,000 kms",Diesel
Commercial,Chevrolet Sail,o...,"2,25,000",,
Hyundai,Hyundai Xcent,2015,"4,00,000","43,000 kms",Diesel
Hyundai,Hyundai Eon,2013,"1,85,000","23,000 kms",Petrol
Renault,Renault Duster,2015,"3,85,000","51,000 kms",Diesel
Maruti,Maruti Suzuki Alto K10 LXi CNG,2009,"90,000","62,000 kms",Petrol
Tata,Tata Nano,2010,"32,000","48,008 kms",Petrol
Commercial,Commercial Car Ta,Zest,"3,71,500",,
Renault,Renault Duster,2013,"4,35,000","39,000 kms",Diesel
Maruti,Maruti Suzuki WagonR AX BSIV,2010,"2,25,000","40,000 kms",Petrol
Maruti,Maruti Suzuki Swift,2006,"1,89,700","48,247 kms",Petrol
Maruti,Maruti Suzuki Ertiga,2012,"3,89,700","39,000 kms",Diesel
Maruti,Maruti Suzuki Swift VXi 1.2 ABS BS IV,2014,"3,65,000","23,000 kms",Petrol
Maruti,Maruti Suzuki Alto K10 New,2017,"3,60,000","9,400 kms",Petrol
Hyundai,Hyundai i20,2010,"2,10,000","50,000 kms",Petrol
Hyundai,Hyundai i10,2009,"1,70,000","75,000 kms",Petrol
tata,tata Indica,sale,"1,30,000",,
Tata,Tata Zest,2017,"3,80,000","70,000 kms",Diesel
Mahindra,Mahindra Xylo,2009,"2,95,000","64,000 kms",Diesel
Toyota,Toyota Corolla,2010,"1,85,000","55,000 kms",Petrol
Tata,Tata Manza,2014,"1,60,000","2,00,000 kms",Diesel
Mahindra,Mahindra KUV100,2018,Ask For Price,"7,500 kms",Diesel
Used,Used bt new conditions ta,Zest,"2,55,000",,
Renault,Renault Kwid,2018,"2,90,000","2,137 kms",Petrol
Sale,Sale tata,ture,"1,00,000",,
Tata,Tata Venture,2013,"1,00,000","30,000 kms",Diesel
Maruti,Maruti Suzuki Swift Dzire Tour LXi,2014,"3,15,000","44,000 kms",Petrol
Maruti,Maruti Suzuki Alto LX BSII,2002,Ask For Price,"56,000 kms",Petrol
Skoda,Skoda Octavia,2006,"1,14,990","65,000 kms",Diesel
Maruti,Maruti Suzuki Omni CNG BS IV,2012,"1,20,000","1,60,000 kms",CNG
Chevrolet,Chevrolet Beat,2011,"1,25,000","56,000 kms",Diesel
Tata,Tata Sumo,2012,"2,10,000","75,000 kms",Diesel
Tata,Tata indigo,emi,"1,70,000",,
Hyundai,Hyundai Verna,2018,"8,55,000","42,000 kms",Diesel
Tata,Tata Sumo,2012,"2,10,000","75,000 kms",Diesel
Mahindra,Mahindra Scorpio,2007,"2,60,000","56,000 kms",Diesel
Maruti,Maruti Suzuki Zen LXi BS III,2002,"95,000","10,544 kms",Petrol
Maruti,Maruti Suzuki Swift Dzire VXi 1.2 BS IV,2011,"2,55,000","64,000 kms",Petrol
Mahindra,Mahindra Scorpio,2008,"3,00,000","70,000 kms",Diesel
Hyundai,Hyundai Grand i10 Sportz 1.2 Kappa VTVT,2014,"3,40,000","25,000 kms",Petrol
Hyundai,Hyundai i20,2017,"5,50,000","15,000 kms",Petrol
Ford,Ford Ikon,2003,"60,000","50,000 kms",Petrol
Hyundai,Hyundai i20,2015,Ask For Price,"49,500 kms",Petrol
Tata,Tata indigo,car,"1,50,000",,
Toyota,Toyota Innova,2011,"7,50,000","1,47,000 kms",Diesel
Nissan,Nissan Sunny,2011,"2,30,000","52,000 kms",Petrol
Chevrolet,Chevrolet Beat,2012,"1,30,000","90,001 kms",Diesel
Maruti,Maruti Suzuki Alto 800 Lxi,2017,"2,70,000","21,000 kms",Petrol
Maruti,Maruti Suzuki Swift VDi BS IV,2012,"2,80,000","48,006 kms",Diesel
Maruti,Maruti Suzuki Swift VDi BS IV,2012,"2,80,000","48,006 kms",Diesel
Maruti,Maruti Suzuki Swift,2012,"2,80,000","48,006 kms",Diesel
very,very good condition tata bolts are av,able,"2,00,000",,
Toyota,Toyota Innova,2012,"6,00,000","80,000 kms",Diesel
Sale,Sale Hyundai xcent commerc,no.,Ask For Price,,
Maruti,Maruti Suzuki Swift VDi ABS,2010,"1,90,000","74,000 kms",Diesel
Hyundai,Hyundai i20,2015,"5,00,000","22,000 kms",Petrol
Mahindra,Mahindra XUV500,2016,"10,65,000","41,000 kms",Diesel
Volkswagen,Volkswagen Polo,2015,"3,50,000","25,000 kms",Diesel
Toyota,Toyota Etios,2012,"3,50,000","85,000 kms",Diesel
Mahindra,Mahindra TUV300,2016,"5,40,000","29,500 kms",Diesel
Hyundai,Hyundai i20,2015,"4,70,000","30,000 kms",Petrol
Hyundai,Hyundai Santro,2014,"1,79,000","57,000 kms",Petrol
Maruti,Maruti Suzuki Zen LXi BS III,2003,"48,000","60,000 kms",Petrol
Maruti,Maruti Suzuki Ciaz ZXi Plus RS,2016,"6,50,000","50,000 kms",Petrol
Hyundai,Hyundai Eon,2013,"1,90,000","39,700 kms",Petrol
Hyundai,Hyundai Elantra,2012,"5,00,000","65,000 kms",Petrol
Maruti,Maruti Suzuki Swift VDi,2010,"2,70,000","67,000 kms",Diesel
Maruti,Maruti Suzuki Zen Estilo LXI Green CNG,2008,"1,25,000","46,000 kms",Petrol
Hyundai,Hyundai Eon,2012,"1,88,000","38,000 kms",Petrol
Hyundai,Hyundai Grand i10 Magna 1.2 Kappa VTVT,2016,"3,80,000","27,000 kms",Petrol
Hyundai,Hyundai Verna,2011,"3,65,000","43,000 kms",Diesel
Ford,Ford EcoSport,2014,"4,65,000","47,000 kms",Petrol
Hyundai,Hyundai i20,2011,"2,40,000","42,000 kms",Petrol
Chevrolet,Chevrolet Beat,2016,"1,79,999","19,336 kms",Diesel
Tata,Tata Indica,2015,"1,40,000","60,105 kms",Diesel
Jaguar,Jaguar XF,2013,"23,90,000","29,000 kms",Diesel
Audi,Audi Q5,2014,"23,90,000","34,000 kms",Diesel
BMW,BMW 3 Series 320d Sedan,2011,"14,75,000","35,000 kms",Diesel
Maruti,Maruti Suzuki Swift ZXi 1.2 BS IV,2015,"4,75,000","22,000 kms",Petrol
BMW,BMW X1,2012,"10,25,000","41,000 kms",Diesel
Maruti,Maruti Suzuki SX4 Cross Sigma 1.3,2016,"6,15,000","21,000 kms",Diesel
Maruti,Maruti Suzuki Ertiga LDi,2013,"4,75,000","48,000 kms",Diesel
Maruti,Maruti Suzuki Alto K10 VXi AMT,2016,"2,70,000","38,000 kms",Petrol
Honda,Honda City,2014,"4,75,000","34,000 kms",Diesel
Volkswagen,Volkswagen Vento,2011,"2,40,000","45,933 kms",Petrol
Honda,Honda City,2005,"1,20,000","68,000 kms",Petrol
Audi,Audi A4,2016,"19,00,000","44,000 kms",Diesel
Mahindra,Mahindra KUV100,2017,"3,60,000","35,000 kms",Diesel
Tata,Tata Zest,2018,"4,50,000","1,02,563 kms",Diesel
Mahindra,Mahindra XUV500,2015,"9,00,000","28,600 kms",Diesel
Maruti,Maruti Suzuki Swift Dzire Tour VDi,2017,"6,50,000","41,800 kms",Diesel
Tata,Tata Sumo,2014,"2,75,000","1,16,000 kms",Diesel
Maruti,Maruti Suzuki Swift Dzire VXi 1.2 BS IV,2009,"2,10,000","59,000 kms",Petrol
Mahindra,Mahindra Scorpio,2004,"1,75,000","58,000 kms",Diesel
Maruti,Maruti Suzuki Omni 8 STR BS III,2009,"85,000","45,000 kms",Petrol
Mitsubishi,Mitsubishi Pajero,2015,"14,90,000","42,590 kms",Diesel
Renault,Renault Duster,2014,"8,00,000","7,400 kms",Diesel
Volkswagen,Volkswagen Jetta,2009,"4,50,000","54,500 kms",Diesel
Maruti,Maruti Suzuki Ertiga Vxi,2012,"10,00,000","2,00,000 kms",Diesel
Audi,Audi A4,2013,"19,10,000","27,000 kms",Diesel
Volvo,Volvo S80,2015,"18,50,000","42,000 kms",Diesel
Toyota,Toyota Corolla,2014,"7,90,000","29,000 kms",Petrol
Mitsubishi,Mitsubishi Pajero,2015,"17,25,000","37,000 kms",Diesel
Chevrolet,Chevrolet Beat,2012,"1,35,000","36,000 kms",Petrol
BMW,BMW X1,2011,"11,00,000","34,000 kms",Diesel
Datsun,Datsun Redi GO S,2018,"2,99,999","7,000 kms",Petrol
Mercedes,Mercedes Benz C-Class C 220 CDI Avantgarde,2009,"12,25,000","76,000 kms",Diesel
Mahindra,Mahindra Scorpio,2004,"1,75,000","60,000 kms",Diesel
Volkswagen,Volkswagen Vento,2011,"2,00,000","95,000 kms",Diesel
Tata,Tata Indigo,2017,"2,70,000","50,000 kms",Diesel
Ford,Ford Figo,2019,"5,25,000",00 kms,Petrol
Honda,Honda City,2006,"1,80,000","50,000 kms",Petrol
Maruti,Maruti Suzuki WagonR Duo Lxi,2008,"1,40,000","68,000 kms",Petrol
Ford,Ford EcoSport,2014,"4,00,000","16,000 kms",Petrol
Maruti,Maruti Suzuki Swift Dzire VDi,2016,"4,99,000","51,000 kms",Diesel
Maruti,Maruti Suzuki Omni 8 STR BS III,2009,"85,000","56,000 kms",Petrol
Maruti,Maruti Suzuki Zen LX BSII,2004,"70,000","1,00,000 kms",Petrol
Renault,Renault Duster,2015,"5,50,000","36,000 kms",Petrol
Maruti,Maruti Suzuki Swift VXi 1.2 BS IV,2014,"3,70,000","11,523 kms",Petrol
Maruti,Maruti Suzuki Baleno Zeta 1.2,2018,"6,90,000","1,000 kms",Petrol
Honda,Honda City,2009,"2,50,000","60,000 kms",Petrol
Tata,Tata Indigo,2016,"1,10,000","85,000 kms",Diesel
Renault,Renault Duster,2013,"4,90,000","38,600 kms",Diesel
Mahindra,Mahindra Scorpio,2009,"3,20,000","95,500 kms",Diesel
Maruti,Maruti Suzuki Zen LXi BS III,2004,"68,000","56,000 kms",Petrol
Maruti,Maruti Suzuki WagonR LXi BS III,2014,"1,30,000","37,458 kms",Petrol
Maruti,Maruti Suzuki SX4 Celebration Diesel,2016,"9,70,000","85,960 kms",Diesel
Audi,Audi A3,2015,"31,00,000","12,516 kms",Petrol
Hyundai,Hyundai Eon,2018,"2,80,000","35,000 kms",Petrol
